Date,Coalition,Labor,Green,ONP,UAP,Other
2024-08-18,41.0,32.0,12.0,,,15.0
2024-08-11,34.0,28.0,14.0,7.0,1.0,9.0
2024-08-11,37.0,29.0,13.0,6.0,2.0,13.0
2024-08-11,38.0,29.5,14.0,5.0,,13.5
2024-08-09,39.0,32.0,12.0,6.0,,11.0
2024-08-04,37.0,30.5,12.0,5.5,,15.0
2024-07-28,34.0,32.0,11.0,7.0,2.0,9.0
2024-07-28,37.5,30.5,13.0,6.5,,12.5
2024-07-21,40.0,31.0,13.0,,,16.0
2024-07-21,39.5,31.5,13.0,5.0,,11.0
2024-07-19,38.0,33.0,13.0,6.0,,10.0
2024-07-19,41.0,32.0,11.0,,,16.0
2024-07-17,38.0,31.0,13.0,7.0,,11.0
2024-07-14,33.0,29.0,13.0,8.0,3.0,9.0
2024-07-14,37.5,31.0,12.5,5.0,,14.0
2024-07-13,38.0,28.0,13.0,6.0,1.0,13.0
2024-07-07,39.5,28.5,13.5,5.0,,13.5
2024-06-30,33.0,30.0,12.0,7.0,1.0,10.0
2024-06-30,36.5,31.5,13.0,4.5,,14.5
2024-06-28,36.0,32.0,13.0,7.0,,12.0
2024-06-23,37.0,31.5,13.0,6.0,,12.5
2024-06-16,40.0,32.0,13.0,,,15.0
2024-06-16,32.0,31.0,13.0,8.0,1.0,9.0
2024-06-16,38.0,29.5,13.5,5.0,,14.0
2024-06-15,36.0,28.0,14.0,6.0,1.0,15.0
2024-06-09,35.0,30.5,15.5,5.5,,13.5
2024-06-07,39.0,33.0,11.0,7.0,,10.0
2024-06-04,38.0,30.0,14.0,8.0,,10.0
2024-06-02,36.0,32.0,13.0,5.0,3.0,8.0
2024-06-02,36.0,31.0,14.0,4.5,,14.5
2024-05-26,37.0,28.5,15.0,6.0,,13.5
2024-05-19,40.0,32.0,14.0,,,14.0
2024-05-19,34.0,31.0,10.0,8.0,1.0,8.0
2024-05-19,36.0,29.0,12.0,7.0,2.0,14.0
2024-05-19,37.0,30.5,14.5,5.5,,12.5
2024-05-18,37.0,34.0,13.0,7.0,,9.0
2024-05-14,38.0,30.0,13.0,8.0,,11.0
2024-05-12,37.0,32.0,13.5,5.5,,12.0
2024-05-05,34.0,31.0,13.0,7.0,1.0,7.0
2024-05-05,37.0,30.0,13.0,6.0,,14.0
2024-04-28,36.5,31.5,14.0,5.5,,12.5
2024-04-23,36.0,33.0,13.0,8.0,,10.0
2024-04-21,35.0,31.0,11.0,9.0,1.0,9.0
2024-04-21,36.0,30.0,13.0,5.0,2.0,14.0
2024-04-21,35.5,30.5,16.0,5.5,,12.5
2024-04-21,37.0,33.0,12.0,7.0,,11.0
2024-04-18,38.0,33.0,12.0,7.0,,10.0
2024-04-14,40.0,31.0,13.0,,,16.0
2024-04-14,38.5,30.0,13.5,5.5,,12.5
2024-04-07,34.0,29.0,14.0,6.0,2.0,8.0
2024-04-07,38.0,29.5,13.5,6.0,,13.0
2024-03-31,37.5,30.0,15.5,3.5,,13.5
2024-03-27,38.0,32.0,13.0,7.0,,10.0
2024-03-24,35.0,32.0,13.0,5.0,2.0,13.0
2024-03-24,36.0,29.0,11.0,7.0,3.0,7.0
2024-03-24,38.0,31.5,14.0,4.5,,12.0
2024-03-22,37.0,32.0,13.0,7.0,,11.0
2024-03-17,37.0,31.5,12.5,5.5,,13.5
2024-03-10,39.0,31.0,14.0,,,16.0
2024-03-10,38.0,32.0,13.0,4.0,,13.0
2024-03-09,35.0,32.0,11.0,8.0,2.0,8.0
2024-03-05,37.0,32.0,15.0,6.0,,10.0
2024-03-03,36.5,34.0,13.5,3.5,,12.5
2024-02-25,35.0,30.0,13.0,7.0,2.0,8.0
2024-02-25,38.0,31.5,12.0,5.0,,13.5
2024-02-24,37.0,34.0,11.0,6.0,1.0,13.0
2024-02-23,36.0,33.0,12.0,6.0,,13.0
2024-02-18,38.0,31.0,14.0,,,17.0
2024-02-18,37.0,34.0,13.0,4.0,,12.0
2024-02-11,34.0,31.0,14.0,7.0,1.0,9.0
2024-02-11,37.0,34.5,12.0,4.5,,12.0
2024-02-07,36.0,32.0,14.0,8.0,,10.0
2024-02-07,38.0,33.0,13.0,,,16.0
2024-02-04,37.0,33.0,12.0,5.0,,13.0
2024-02-03,36.0,34.0,12.0,7.0,,11.0
2024-01-28,34.0,32.0,13.0,7.0,2.0,7.0
2024-01-28,37.5,31.0,13.0,5.5,,13.0
2024-01-21,36.0,32.5,12.5,5.0,,14.0
2024-01-17,37.0,32.0,13.0,7.0,,11.0
2024-01-14,37.0,31.5,12.0,4.5,,15.0
2024-01-11,39.0,31.0,13.0,,,16.0
2024-01-07,39.0,29.0,13.0,5.0,,14.0
2023-12-17,39.0,31.0,13.0,,,16.0
2023-12-17,38.0,32.0,11.5,4.5,,14.0
2023-12-15,36.0,33.0,13.0,7.0,,11.0
2023-12-11,34.0,31.0,13.0,6.0,2.0,9.0
2023-12-11,35.0,33.0,13.0,,,19.0
2023-12-05,36.0,29.0,15.0,7.0,,13.0
2023-12-03,34.0,35.0,12.0,5.0,1.0,12.0
2023-12-03,37.5,32.5,12.5,5.0,,12.5
2023-11-26,34.0,31.0,13.0,7.0,1.0,8.0
2023-11-26,35.0,32.0,13.5,5.0,,14.5
2023-11-24,38.0,31.0,13.0,6.0,,12.0
2023-11-19,37.5,29.5,13.5,6.5,,13.0
2023-11-14,36.0,31.0,13.0,7.0,,13.0
2023-11-12,34.0,32.0,12.0,7.0,2.0,8.0
2023-11-12,36.5,30.0,13.0,6.0,,14.5
2023-11-05,30.0,35.0,13.0,7.0,2.0,13.0
2023-11-03,37.0,35.0,12.0,6.0,,10.0
2023-11-02,35.0,34.0,14.0,,,17.0
2023-10-29,34.0,32.0,10.0,7.0,3.0,9.0
2023-10-29,35.0,32.5,15.0,,,17.5
2023-10-22,36.0,32.0,14.0,4.5,,13.5
2023-10-12,35.0,36.0,12.0,6.0,,11.0
2023-10-10,36.0,33.0,14.0,6.0,,11.0
2023-10-06,36.0,34.0,12.0,5.0,,13.0
2023-10-04,31.0,37.0,12.0,7.0,2.0,11.0
2023-10-01,32.0,33.0,14.0,6.0,2.0,7.0
2023-09-29,35.0,33.0,13.0,,,19.0
2023-09-24,37.0,33.0,13.0,,,17.0
2023-09-22,36.0,36.0,11.0,6.0,,11.0
2023-09-17,32.0,31.0,13.0,8.0,2.0,8.0
2023-09-10,37.0,32.0,13.5,,,17.5
2023-09-09,34.0,36.0,12.0,5.0,2.0,11.0
2023-09-04,36.0,37.0,13.0,,,14.0
2023-09-03,32.0,31.0,15.0,7.0,2.0,7.0
2023-09-03,37.5,33.5,13.0,,,16.0
2023-09-01,37.0,35.0,13.0,7.0,,8.0
2023-08-20,33.0,33.0,14.0,5.0,3.0,7.0
2023-08-14,32.0,38.0,10.0,,,21.0
2023-08-13,33.0,37.0,11.0,5.0,2.0,12.0
2023-08-06,30.0,33.0,12.0,8.0,2.0,8.0
2023-07-23,32.0,31.0,14.0,7.0,1.0,9.0
2023-07-15,30.0,39.0,11.0,6.0,1.0,11.0
2023-07-15,34.0,36.0,12.0,7.0,,11.0
2023-07-09,32.0,32.0,14.0,8.0,1.0,8.0
2023-06-25,30.0,32.0,14.0,7.0,2.0,11.0
2023-06-24,35.0,38.0,11.0,6.0,,10.0
2023-06-11,32.0,32.0,16.0,5.0,1.0,9.0
2023-06-11,30.0,40.0,12.0,6.0,2.0,10.0
2023-06-03,34.0,38.0,12.0,6.0,,10.0
2023-05-28,31.0,34.0,15.0,6.0,2.0,7.0
2023-05-17,37.0,34.0,12.0,,,17.0
2023-05-14,31.0,35.0,14.0,5.0,1.0,8.0
2023-05-13,34.0,38.0,11.0,7.0,,10.0
2023-05-13,30.0,42.0,12.0,5.0,2.0,8.0
2023-04-30,32.0,33.0,14.0,5.0,2.0,8.0
2023-04-22,33.0,38.0,11.0,7.0,,11.0
2023-04-16,31.0,34.0,14.0,6.0,3.0,9.0
2023-04-16,28.0,42.0,12.0,6.0,1.0,11.0
2023-04-02,30.0,33.0,14.0,6.0,2.0,10.0
2023-04-01,33.0,38.0,10.0,8.0,,11.0
2023-03-20,31.0,34.0,14.0,5.0,2.0,9.0
2023-03-16,30.0,39.0,13.0,5.0,1.0,11.0
2023-03-05,32.0,32.0,12.0,7.0,2.0,10.0
2023-03-05,33.5,38.0,11.5,,,17.0
2023-03-04,35.0,37.0,10.0,7.0,,11.0
2023-02-26,34.5,37.0,13.5,,,15.0
2023-02-19,30.0,33.0,14.0,6.0,3.0,8.0
2023-02-19,31.0,40.0,10.0,5.0,1.0,11.0
2023-02-19,33.0,37.0,13.0,,,17.0
2023-02-06,30.0,33.0,17.0,6.0,1.0,15.0
2023-02-04,34.0,38.0,11.0,6.0,1.0,10.0
2023-01-29,33.5,37.5,11.5,,,17.5
2023-01-22,31.0,34.0,14.0,8.0,1.0,7.0
2023-01-22,29.0,42.0,11.0,6.0,2.0,11.0
2022-12-18,37.0,37.0,12.0,4.0,1.0,9.0
2022-12-11,30.0,35.0,13.0,6.0,3.0,8.0
2022-12-04,30.0,42.0,11.0,4.0,2.0,8.0
2022-12-03,35.0,39.0,11.0,6.0,1.0,9.0
2022-11-27,31.0,33.0,13.0,,,17.0
2022-10-30,35.0,38.0,11.0,6.0,1.0,9.0
2022-10-30,32.0,39.0,13.0,4.0,1.0,11.0
2022-10-09,30.0,39.0,12.0,5.0,3.0,11.0
2022-09-18,32.0,39.0,10.0,6.0,2.0,11.0
2022-09-03,31.0,37.0,13.5,7.0,2.0,10.0
2022-08-21,28.0,42.0,12.0,5.0,2.0,11.0
2022-07-30,33.0,37.0,12.0,6.0,2.0,10.0
2022-06-17,31.0,34.0,12.0,4.0,4.0,7.0
2022-06-19,37.0,36.0,11.0,4.0,0.5,11.5
2022-05-21,35.7,32.6,12.2,5.0,4.1,10.4
