Date,HDZ,SDP,DP,Most,Možemo,Other
2023-01-08,0.3154121863799283,0.1768219832735962,0.07287933094384706,0.1087216248506571,0.12066905615292711,0.20549581839904418
2022-12-30,0.2993939393939394,0.17818181818181816,0.08484848484848485,0.1103030303030303,0.12121212121212122,0.20606060606060606
2022-12-23,0.3730255164034022,0.149453219927096,0.08262454434993925,0.09720534629404617,0.0911300121506683,0.2065613608748481
2022-12-04,0.31796690307328607,0.18203309692671396,0.06973995271867613,0.10638297872340426,0.12056737588652482,0.20330969267139481
2022-11-26,0.28554070473876064,0.181044957472661,0.0850546780072904,0.11421628189550426,0.12515188335358446,0.2089914945321993
2022-11-25,0.3624242424242425,0.14181818181818184,0.07030303030303031,0.10060606060606063,0.10424242424242426,0.22060606060606064
2022-11-20,0.3137973137973138,0.19169719169719168,0.06715506715506715,0.10378510378510378,0.13186813186813187,0.19169719169719168
2022-11-06,0.2986698911729141,0.19951632406287784,0.07376058041112453,0.11487303506650542,0.12091898428053202,0.19226118500604591
2022-10-29,0.2813641900121803,0.1851400730816078,0.08647990255785627,0.11571254567600488,0.1266747868453106,0.2046285018270402
2022-10-25,0.3238312428734322,0.14481185860889398,0.07069555302166478,0.1014823261117446,0.09007981755986319,0.26909920182440145
2022-10-20,0.29963459196102316,0.197320341047503,0.06577344701583435,0.11327649208282582,0.13641900121802678,0.18757612667478682
2022-10-09,0.29683698296836986,0.2031630170316302,0.07299270072992702,0.11192214111922141,0.12895377128953772,0.1861313868613139
2022-09-26,0.32373271889400923,0.15207373271889402,0.06566820276497697,0.09907834101382489,0.09677419354838711,0.26267281105990786
2022-09-24,0.29004854368932037,0.18203883495145629,0.08737864077669903,0.11771844660194174,0.11771844660194174,0.20509708737864074
2022-09-20,0.30694275274056027,0.20341047503045065,0.06942752740560292,0.10596833130328866,0.13276492082825822,0.1814859926918392
2022-09-04,0.2954822954822955,0.20268620268620272,0.06715506715506717,0.1147741147741148,0.12942612942612944,0.1904761904761905
2022-08-30,0.3135593220338983,0.1791767554479419,0.08353510895883778,0.11138014527845036,0.11985472154963682,0.19249394673123485
2022-08-25,0.36004784688995217,0.15789473684210525,0.04784688995215311,0.11004784688995216,0.1076555023923445,0.21650717703349284
2022-08-07,0.32968369829683697,0.19586374695863748,0.0705596107055961,0.10218978102189781,0.1289537712895377,0.1727493917274939
2022-08-02,0.3238566131025958,0.19159456118665016,0.08281829419035847,0.11248454882571074,0.1322620519159456,0.15698393077873918
2022-07-25,0.34975961538461536,0.16706730769230768,0.06129807692307691,0.09855769230769229,0.11899038461538461,0.20432692307692307
2022-07-10,0.3345588235294118,0.2144607843137255,0.06740196078431374,0.10294117647058824,0.14215686274509803,0.13848039215686275
2022-06-24,0.3530120481927711,0.15421686746987953,0.07590361445783132,0.10963855421686747,0.10722891566265061,0.19999999999999998
2022-06-05,0.32442284325637916,0.20170109356014587,0.06196840826245444,0.11178614823815311,0.14945321992709604,0.15066828675577157
2022-05-27,0.3032886723507917,0.20341047503045068,0.06211936662606577,0.12058465286236299,0.1741778319123021,0.1364190012180268
2022-05-25,0.34285714285714286,0.16114285714285714,0.064,0.11657142857142856,0.11657142857142856,0.19885714285714284
2022-05-20,0.3184559710494572,0.2135102533172497,0.055488540410132695,0.10977080820265381,0.14475271411338964,0.158021712907117
2022-05-08,0.3148371531966225,0.21109770808202655,0.05790108564535586,0.11097708082026539,0.15199034981905912,0.1531966224366707
2022-04-25,0.3421052631578948,0.19019138755980863,0.05741626794258373,0.1076555023923445,0.10885167464114832,0.1937799043062201
2022-04-24,0.3039806996381182,0.2050663449939686,0.06875753920386007,0.11700844390832327,0.14837153196622435,0.15681544028950542
2022-04-10,0.30713422007255137,0.20677146311970981,0.056831922611850064,0.12454655380894801,0.154776299879081,0.14993954050785974
2022-03-25,0.3341260404280619,0.16646848989298454,0.06658739595719382,0.12009512485136742,0.1272294887039239,0.1854934601664685
2022-03-20,0.3008423586040915,0.19374247894103494,0.07821901323706379,0.12274368231046931,0.14681107099879664,0.15764139590854395
2022-03-06,0.3014354066985646,0.20334928229665072,0.07535885167464115,0.12679425837320574,0.14952153110047847,0.14354066985645933
2022-02-25,0.30919540229885056,0.15747126436781608,0.0735632183908046,0.1425287356321839,0.1482758620689655,0.16896551724137931
2022-02-06,0.3089622641509434,0.21108490566037735,0.05070754716981132,0.13089622641509435,0.15212264150943397,0.14622641509433962
2022-01-25,0.36538461538461536,0.1622596153846154,0.07211538461538461,0.10576923076923077,0.11298076923076923,0.1814903846153846
2022-01-09,0.30814639905548996,0.19952774498229042,0.043683589138134596,0.14639905548996457,0.15702479338842976,0.14521841794569068
2021-12-24,0.3657635467980295,0.16133004926108374,0.06527093596059112,0.13054187192118225,0.10837438423645321,0.1687192118226601
2021-12-05,0.32533013205282113,0.19327731092436978,0.05882352941176471,0.10204081632653061,0.17046818727490995,0.15006002400960386
2021-11-25,0.3584447144592952,0.16038882138517616,0.058323207776427695,0.11421628189550424,0.12515188335358443,0.18347509113001215
2021-11-20,0.33333333333333326,0.19030303030303025,0.054545454545454536,0.09696969696969696,0.18666666666666665,0.13818181818181816
2021-11-07,0.3242603550295858,0.1893491124260355,0.05917159763313609,0.09467455621301775,0.1881656804733728,0.14437869822485205
2021-10-25,0.3618266978922716,0.14285714285714285,0.052693208430913345,0.09601873536299764,0.13114754098360654,0.21545667447306788
2021-10-20,0.32733812949640284,0.19064748201438847,0.04916067146282973,0.08153477218225419,0.19304556354916066,0.15827338129496402
2021-10-10,0.3345454545454545,0.19515151515151513,0.044848484848484846,0.0812121212121212,0.20727272727272725,0.13696969696969696
2021-09-23,0.3623529411764706,0.15764705882352942,0.0611764705882353,0.09764705882352942,0.16,0.16117647058823528
2021-09-20,0.3169590643274854,0.2,0.045614035087719294,0.09941520467836257,0.18830409356725147,0.1497076023391813
2021-09-05,0.3163383545770567,0.20741599073001155,0.04403244495944379,0.08922363847045191,0.19930475086906138,0.14368482039397448
2021-08-25,0.3496503496503496,0.148018648018648,0.058275058275058265,0.10372960372960371,0.1818181818181818,0.1585081585081585
2021-07-26,0.32964601769911506,0.1581858407079646,0.08517699115044247,0.08407079646017698,0.16482300884955753,0.17809734513274336
2021-07-11,0.31786542923433875,0.21693735498839908,0.07424593967517402,0.055684454756380515,0.19605568445475638,0.1392111368909513
2021-07-07,0.3515358361774744,0.17292377701934017,0.09556313993174063,0.08418657565415245,0.15358361774744028,0.14220705346985213
2021-06-25,0.3611764705882353,0.15764705882352945,0.07529411764705884,0.08000000000000002,0.14823529411764708,0.17764705882352944
2021-06-06,0.31126596980255516,0.2195121951219512,0.09523809523809522,0.0627177700348432,0.15563298490127758,0.15563298490127758
2021-05-25,0.3534183082271147,0.17612977983777517,0.08458864426419466,0.0776361529548088,0.10892236384704518,0.19930475086906138
2021-05-09,0.3163507109004739,0.23222748815165878,0.09715639810426539,0.08412322274881516,0.10781990521327013,0.16232227488151657
2021-04-23,0.3521634615384615,0.1814903846153846,0.07932692307692307,0.09254807692307693,0.10456730769230768,0.18990384615384615
2021-04-20,0.32147093712930014,0.22182680901542112,0.09134045077105576,0.0830367734282325,0.10676156583629894,0.17556346381969157
2021-04-04,0.31753554502369674,0.22867298578199055,0.09360189573459717,0.09004739336492891,0.0971563981042654,0.17298578199052134
2021-03-25,0.3493397358943578,0.19207683073229292,0.07442977190876351,0.08763505402160865,0.1128451380552221,0.1836734693877551
2021-03-20,0.32538736591179973,0.22407628128724671,0.09654350417163289,0.08939213349225268,0.1036948748510131,0.1609058402860548
2021-03-07,0.32066508313539194,0.23159144893111638,0.08907363420427553,0.0855106888361045,0.0985748218527316,0.17458432304038005
2021-02-25,0.356401384083045,0.1983852364475202,0.07843137254901962,0.09227220299884661,0.10726643598615919,0.16724336793540948
2021-02-07,0.32819905213270145,0.23578199052132703,0.08530805687203792,0.08649289099526067,0.09834123222748817,0.16587677725118485
2021-01-25,0.3391494002181026,0.1810250817884406,0.07960741548527808,0.0850599781897492,0.10468920392584516,0.21046892039258455
2021-01-10,0.33136094674556216,0.23195266272189352,0.07455621301775148,0.08757396449704143,0.09940828402366865,0.17514792899408282
2020-12-24,0.32455216016859856,0.17070600632244468,0.09905163329820865,0.08746048472075871,0.09062170706006323,0.22760800842992623
2020-12-06,0.33718244803695147,0.2367205542725173,0.09122401847575057,0.10046189376443417,0.07390300230946882,0.1605080831408776
2020-11-25,0.35195530726256985,0.19664804469273744,0.08379888268156424,0.08268156424581007,0.07262569832402235,0.2122905027932961
2020-11-08,0.3337155963302753,0.22706422018348627,0.08371559633027524,0.09862385321100918,0.0871559633027523,0.16972477064220184
2020-10-26,0.36071032186459484,0.20754716981132074,0.0932297447280799,0.08102108768035515,0.07436182019977802,0.18312985571587123
2020-10-08,0.34703196347031956,0.20776255707762553,0.09360730593607304,0.0958904109589041,0.10273972602739725,0.15296803652968036
2020-09-25,0.38208616780045346,0.19387755102040813,0.08956916099773242,0.07029478458049886,0.09297052154195008,0.1712018140589569
2020-09-06,0.36936936936936937,0.2072072072072072,0.08783783783783784,0.08558558558558559,0.10022522522522523,0.14977477477477477
2020-08-25,0.367369589345172,0.1820199778024417,0.06770255271920088,0.07769145394006659,0.09544950055493895,0.2097669256381798
2020-08-06,0.3856975381008206,0.21219226260257912,0.10082063305978896,0.09730363423212192,0.12895662368112543,0.07502930832356389
2020-07-25,0.3381858902575588,0.20604703247480402,0.07726763717805152,0.09182530795072788,0.09742441209406494,0.18924972004479287
2020-07-05,0.373,0.249,0.109,0.07400000000000001,0.07,0.125
