Date,SPOLU,ANO,STAN,Piráti,SPD,PŘÍSAHA,AUTO,SOCDEM,Stačilo!,Zelení,PRO
2025-02-25,48.599999999999994,33.6,12.9,6.8,8.1,2.5,5.0,2.5,5.7,2.1,
2025-02-18,18.5,34.7,11.4,5.9,8.1,2.9,4.5,2.3,5.7,2.0,
2025-02-09,18.7,34.5,12.2,4.8,7.8,3.6,4.8,2.8,5.2,1.9,0.5
2025-02-12,19.0,34.1,11.1,5.3,8.2,2.9,4.2,3.0,6.9,2.3,
2025-02-04,19.8,35.3,10.3,5.3,8.1,2.1,4.5,2.5,6.7,2.6,
2025-01-29,20.5,36.7,12.0,5.0,5.7,1.9,5.4,1.6,5.5,1.5,1.6
2025-01-31,19.0,33.5,12.5,7.5,6.5,2.0,7.5,,3.5,,
2025-01-31,20.0,33.5,12.5,7.5,6.5,2.0,7.5,,3.0,,
2025-01-28,18.8,35.1,10.6,6.4,8.7,2.1,4.1,2.8,5.8,2.1,1.0
2025-01-21,18.2,34.9,11.1,6.7,8.5,2.3,3.9,3.3,5.0,1.8,1.2
2025-01-13,17.1,32.3,12.4,6.1,6.9,4.0,5.9,2.5,5.1,2.2,1.7
2025-01-14,18.1,34.4,9.9,7.3,8.2,2.8,4.9,3.0,4.9,1.9,1.7
2025-01-07,18.4,33.8,9.4,6.8,8.1,3.0,5.0,2.9,5.3,1.9,1.9
2024-12-31,18.0,33.5,13.0,6.0,4.5,2.5,7.0,3.0,5.0,2.0,1.5
2024-12-09,18.3,33.6,11.2,5.9,7.9,2.3,5.3,3.7,5.2,1.7,1.3
2024-11-30,18.5,33.5,10.0,6.5,6.5,2.0,6.5,4.0,6.5,2.5,
2024-11-12,16.6,35.3,11.1,5.7,7.0,3.0,4.4,3.3,5.8,1.8,1.8
2024-11-08,21.1,33.7,8.4,5.9,8.9,2.6,4.1,3.0,5.5,2.4,
2024-11-08,21.0,37.0,12.0,7.0,7.0,,2.5,2.0,3.5,2.0,
2024-11-08,22.0,37.0,11.5,7.0,7.0,,2.5,2.0,3.5,2.0,
2024-10-31,19.5,33.5,11.0,6.5,5.0,3.5,6.0,3.0,5.0,,2.0
2024-10-09,18.7,32.9,12.0,6.8,7.5,4.3,3.6,2.9,4.6,2.0,1.4
2024-10-11,20.599999999999998,32.1,10.6,5.9,9.4,4.6,3.2,2.6,5.3,,
2024-10-11,20.0,36.5,14.0,5.0,7.0,3.0,2.5,2.5,3.0,,
2024-10-11,22.5,35.5,13.0,5.0,6.5,3.0,2.5,2.5,3.0,,
2024-09-30,18.0,33.0,11.0,8.5,7.0,4.5,3.5,4.0,4.5,2.0,2.0
2024-09-10,17.700000000000003,32.1,9.2,7.8,7.7,5.2,5.5,2.5,4.5,2.2,
2024-09-08,24.0,33.4,6.8,7.8,7.4,3.3,2.6,2.8,4.6,2.7,1.0
2024-08-08,21.4,29.3,9.6,8.0,6.0,4.6,4.1,2.8,5.7,2.3,1.5
2024-07-31,20.5,33.0,9.0,8.0,8.0,5.0,,3.5,4.0,2.5,2.0
2024-07-12,19.7,28.2,10.1,9.1,6.8,7.2,,3.2,5.6,1.6,1.4
2024-06-21,22.5,34.5,8.5,9.0,6.0,4.5,,2.5,3.0,2.5,
2024-06-21,23.0,34.0,8.5,9.0,6.0,4.5,,2.5,3.0,2.5,
2024-06-30,21.5,30.5,9.0,10.5,8.5,5.0,,2.5,4.5,2.0,1.5
2024-06-17,21.8,32.9,6.8,8.7,7.3,3.7,2.7,2.5,5.1,2.0,1.9
2024-06-01,16.4,30.2,7.9,12.5,7.6,6.4,,2.6,6.0,1.4,2.3
2024-05-31,22.0,33.0,8.5,10.0,7.5,3.0,,3.5,4.0,1.5,3.5
2024-05-01,19.200000000000003,29.7,10.1,10.8,7.0,5.4,,3.6,5.4,2.0,
2024-05-10,22.5,32.5,7.5,11.0,9.0,3.5,,3.0,2.5,2.5,
2024-05-10,24.0,32.0,7.5,11.0,9.0,3.5,,3.0,2.5,2.5,
2024-04-01,20.8,30.3,8.9,9.1,9.1,3.4,,2.5,5.2,,2.3
2024-04-03,21.0,32.0,6.0,10.5,7.0,3.5,,4.5,4.5,3.0,4.0
2024-04-05,21.5,35.5,6.5,11.0,8.0,2.5,,3.0,3.0,2.0,2.0
2024-04-05,23.5,34.5,6.5,10.5,8.0,2.5,,3.0,3.0,2.0,2.0
2024-03-31,22.8,32.9,6.6,10.5,9.3,2.8,,3.6,4.5,2.1,1.9
2024-03-01,20.0,39.0,7.5,10.0,9.0,,,2.5,2.5,2.0,
2024-03-01,21.5,38.5,7.0,9.5,9.0,,,2.5,2.5,,
2024-03-04,21.0,31.0,9.0,11.0,9.5,3.0,,4.5,4.0,2.0,2.0
2024-02-02,22.5,35.5,7.0,10.0,10.0,3.5,,4.0,3.0,,
2024-02-02,24.0,35.0,6.5,9.5,9.5,3.5,,4.0,3.0,,
2024-02-01,20.5,31.5,7.0,13.0,10.5,3.0,,4.0,4.5,1.5,3.0
2024-01-27,20.9,33.4,7.0,11.3,10.0,2.6,,3.1,4.8,2.5,
2023-12-30,21.5,35.0,6.5,10.5,9.0,2.5,,4.5,4.5,1.5,2.5
2023-11-28,22.700000000000003,34.3,6.6,10.5,9.2,2.8,,4.1,2.5,1.0,1.8
2023-12-01,18.5,34.5,7.0,12.0,10.0,2.5,,4.0,2.5,3.0,
2023-12-01,19.5,34.5,7.0,11.5,10.0,2.5,,3.5,2.5,3.0,
2023-11-30,25.0,34.5,6.0,11.0,8.5,1.5,,4.5,3.5,1.5,1.5
2023-11-14,20.3,33.2,6.4,10.2,12.0,2.9,,4.5,3.0,1.6,1.9
2023-11-03,21.5,33.0,7.0,10.5,10.5,2.5,,3.5,3.5,,2.0
2023-11-03,22.5,32.5,7.0,10.5,10.5,2.5,,3.5,3.5,,2.0
2023-10-31,23.0,35.0,6.0,9.0,10.5,3.0,,3.5,3.0,1.5,2.5
2023-09-29,19.5,33.5,7.5,8.5,9.5,4.0,,3.5,3.0,2.0,3.0
2023-09-29,20.5,33.5,7.5,8.5,9.5,4.0,,3.5,3.0,2.0,3.0
2023-10-02,22.5,34.0,6.5,11.5,9.5,,,4.0,4.5,2.0,2.5
2023-09-17,23.5,30.8,5.3,9.6,10.9,3.2,,4.0,4.3,2.7,1.2
2023-08-08,24.5,33.0,6.5,12.0,8.0,3.0,,5.0,3.0,1.5,1.5
2023-06-30,21.0,35.5,5.5,11.0,10.0,2.5,,4.0,2.5,2.5,1.5
2023-06-02,24.0,33.5,6.0,11.5,8.0,2.5,,3.5,3.5,2.5,2.0
2023-06-02,24.5,33.5,6.5,11.5,8.0,2.5,,3.0,3.5,2.0,2.0
2023-06-02,24.5,34.5,6.0,10.5,8.5,2.0,,4.0,3.5,,
2023-05-29,22.7,33.5,5.8,10.8,9.3,2.9,,4.1,3.8,2.3,1.2
2023-05-05,25.0,31.0,6.5,11.5,9.5,2.5,,5.5,2.5,2.0,2.0
2023-05-05,27.0,30.5,6.0,11.0,9.0,2.5,,5.5,2.5,2.0,2.0
2023-05-02,25.0,31.0,7.5,10.5,8.5,2.0,,4.0,4.0,2.0,
2023-04-06,27.0,29.5,5.5,11.0,8.0,3.5,,5.0,2.5,,3.0
2023-04-03,24.5,34.5,8.0,8.5,10.0,2.0,,4.0,3.0,2.0,
2023-03-07,23.0,32.0,7.0,11.5,9.5,2.5,,5.0,3.5,2.0,
2023-03-03,30.5,29.5,7.0,9.0,8.5,2.5,,4.5,2.0,,1.5
2022-12-05,23.4,30.8,6.4,9.4,12.4,,,4.0,4.2,,
2022-11-04,30.5,26.5,6.0,11.5,11.0,2.5,,3.5,2.5,,
2022-10-31,24.5,31.5,5.5,11.0,12.0,2.0,,5.5,2.0,2.0,
2022-09-30,24.5,30.5,5.5,11.0,11.5,3.0,,4.5,2.5,2.0,
2022-09-30,28.0,29.5,7.5,9.0,11.5,4.0,,2.5,2.0,2.0,
2022-09-08,23.7,30.0,5.0,9.4,14.3,3.5,,4.0,,,
2022-09-02,28.0,30.5,6.5,8.5,11.0,3.0,,3.0,3.5,,
2022-08-31,23.0,29.0,4.0,11.5,14.0,3.5,,5.0,3.5,2.0,
2022-08-11,24.5,31.1,5.5,9.3,11.9,3.3,,4.8,3.4,2.5,
2022-08-02,25.0,30.0,5.5,10.5,12.5,3.0,,5.0,2.5,2.0,
2022-07-04,25.900000000000002,29.0,4.8,11.8,12.5,2.2,,5.6,2.8,1.8,
2022-06-02,30.0,28.0,6.5,8.5,11.0,2.0,,4.5,2.5,2.0,
2022-06-02,25.5,28.5,8.5,9.0,11.5,3.0,,5.5,3.0,,
2022-04-29,33.5,27.5,10.0,5.0,11.0,3.0,,2.5,2.0,2.0,
2022-04-01,31.5,27.5,10.0,7.5,9.5,3.5,,2.5,2.5,,
2022-03-04,33.0,25.0,11.0,7.5,11.5,3.0,,3.0,2.0,,
2021-11-19,26.0,27.0,13.0,8.0,9.5,2.5,,4.0,3.5,,
2021-10-09,27.790000000000003,27.12,15.62,15.62,9.56,4.68,,4.65,3.6,0.99,
